Hour,2025-03-01,2025-03-02,2025-03-03,2025-03-04,2025-03-05,2025-03-06,2025-03-07,2025-03-08,2025-03-09,2025-03-10,2025-03-11,2025-03-12,2025-03-13,2025-03-14,2025-03-15,2025-03-16,2025-03-17,2025-03-18,2025-03-19,2025-03-20
00:00-01:00,74.635,52.725,124.91,3.235,17.365,37.178,11.268,18.635,36.52,24.998,22.965,11.653,2.018,4.99,21.658,21.258,16.905,1.983,1.995,13.988
01:00-02:00,77.673,48.865,70.3,3.443,18.708,20.008,12.715,19.8,35.495,19.973,25.38,9.203,1.983,4.943,25.81,20.338,17.418,1.273,2.048,14.595
02:00-03:00,83.125,50.263,46.953,2.008,19.045,18.148,14.838,20.003,36.055,19.195,26.905,6.553,1.405,4.97,30.403,17.208,17.195,0.288,2.24,17.01
03:00-04:00,84.07,55.783,32.77,2.175,19.97,17.373,16.703,18.945,36.193,19.725,25.928,6.47,1.95,5.363,32.38,16.133,18.633,0.455,2.005,25.095
04:00-05:00,87.473,64.328,24.823,2.815,23.318,15.533,19.168,19.458,38.145,20.713,27.728,7.648,1.94,8.305,33.948,18.33,19.745,1.64,2.233,30.005
05:00-06:00,102.865,90.923,23.23,3.485,39.003,16.285,20.36,20.388,43.993,33.928,35.05,15.088,2.425,9.955,37.19,23.793,25.263,2.028,4.463,60.333
06:00-07:00,92.035,90.503,18.495,5.06,41.238,14.925,22.573,20.885,60.25,41.198,38.918,18.188,3.795,10.733,36.003,30.11,37.705,4.68,5.805,91.96
07:00-08:00,75.85,124.645,30.173,5.59,92.178,17.933,23.888,25.498,72.62,55.0,47.908,22.815,4.983,12.738,37.788,42.4,54.835,4.423,9.213,101.033
08:00-09:00,79.365,118.688,28.87,6.55,130.768,19.198,24.675,28.448,74.783,39.678,48.26,26.198,3.963,14.75,35.385,52.835,54.578,4.215,12.453,84.04
09:00-10:00,80.358,103.095,21.218,8.11,96.54,20.005,24.213,26.373,74.65,37.41,43.313,25.993,2.543,16.998,39.228,44.66,39.245,4.63,10.673,69.225
10:00-11:00,78.175,97.695,21.318,7.76,68.243,21.285,24.39,27.905,79.703,38.168,32.125,18.833,2.19,18.455,43.103,33.835,27.673,4.273,8.59,42.068
11:00-12:00,76.01,99.038,22.775,6.798,59.018,25.138,23.91,26.265,68.595,39.893,30.393,11.365,2.0,19.83,43.16,17.945,23.998,2.79,8.165,24.895
12:00-13:00,82.408,97.09,21.96,7.62,57.895,25.743,23.658,25.408,64.813,38.77,30.068,9.74,2.0,20.003,39.878,16.618,20.82,2.445,7.14,24.335
13:00-14:00,88.37,91.745,20.423,7.133,58.208,24.925,21.983,27.45,61.758,36.388,28.368,9.765,2.06,20.3,30.653,18.12,14.94,2.603,7.835,17.313
14:00-15:00,78.748,113.818,19.235,7.3,61.245,20.053,22.413,29.438,75.723,33.975,33.66,8.38,2.258,23.105,32.408,32.743,17.235,2.915,8.055,20.295
15:00-16:00,72.283,83.783,19.29,8.24,88.268,19.68,21.113,32.19,94.238,33.0,44.5,6.53,3.443,28.51,43.455,37.295,24.998,4.99,9.243,26.275
16:00-17:00,77.665,99.995,19.19,5.603,90.08,18.74,20.465,33.943,114.145,32.565,42.745,8.16,6.668,31.403,51.843,38.5,17.98,4.715,11.36,32.485
17:00-18:00,90.183,127.005,18.578,7.873,128.653,16.918,19.865,33.59,148.178,29.48,32.833,9.508,7.89,31.103,50.223,37.865,9.67,6.225,15.675,25.985
18:00-19:00,94.92,148.33,18.325,15.205,100.0,13.23,16.52,36.693,196.383,28.055,26.448,9.805,8.305,32.385,59.428,35.808,8.54,5.11,18.403,22.938
19:00-20:00,88.065,127.03,18.1,22.28,71.4,11.583,12.985,32.06,120.975,26.003,25.873,8.743,8.015,29.018,43.68,32.133,6.628,4.423,17.498,15.343
20:00-21:00,73.99,99.053,12.618,16.255,66.038,10.433,10.095,30.253,76.278,24.495,23.225,6.243,7.18,28.92,40.003,21.635,4.293,3.378,14.783,12.493
21:00-22:00,74.623,135.583,10.698,35.0,66.013,13.028,12.393,35.233,46.265,24.898,22.04,4.83,6.813,29.953,36.1,17.998,3.165,2.55,17.023,10.208
22:00-23:00,63.843,99.008,6.84,34.005,39.115,12.06,10.59,38.013,35.718,24.18,20.983,3.443,6.013,31.808,32.92,17.943,1.9,1.97,15.765,10.995
23:00-24:00,60.96,71.255,7.175,15.948,21.088,9.513,8.54,37.125,30.688,25.0,14.588,2.935,5.35,28.765,28.353,21.035,0.315,1.793,14.338,11.41
