P_requirement,alpha,epsilon_allowed_shortfall,alsox_bid_in_sample_kw,oos_expected_shortfall_kw,oos_shortfall_probability,oos_avg_shortfall_given_shortfall_kw,oos_requirement_met
P80,0.8,0.19999999999999996,270.6795438895068,3.648608868527289,0.124,29.424265068768467,True
P82,0.8200000000000001,0.17999999999999994,264.2650653347297,2.898148042844123,0.11033333333333334,26.26720280523374,True
P84,0.8400000000000001,0.15999999999999992,258.0306713051758,2.250663168410777,0.09766666666666667,23.04433278236291,True
P86,0.86,0.14,251.6991502242738,1.671678806683811,0.084,19.900938174807276,True
P88,0.88,0.12,246.28009553787405,1.2481685582471393,0.07183333333333333,17.37589640251238,True
P90,0.9,0.09999999999999998,240.39965724671475,0.8614323749067395,0.06025,14.297632778535096,True
P92,0.92,0.07999999999999996,233.5093490052427,0.4958449143719657,0.047,10.549891795148204,True
P94,0.9400000000000001,0.05999999999999994,226.27781016637908,0.19910240263569942,0.036333333333333336,5.479882641349525,True
P96,0.96,0.040000000000000036,220.0,0.0,0.0,0.0,True
P98,0.98,0.020000000000000018,220.0,0.0,0.0,0.0,True
P100,1.0,0.0,220.0,0.0,0.0,0.0,True
